F3_Haupteinkaufsstaette;F7_2_ERWARTUNGEN_1;F7_1.1_ZUFR_BEGR_offen
Lidl;4;Die Produkte sind preisgünstig und die Auswahl ist groß, die Läden sind sauber und das Obst und Gemüse und die Brot- und Backwaren sind immer frisch, allerdings sind oft die Sonderangebote bei den Gebrauchsgegenständen nicht in ausreichender Menge verfügbar und sehr schnell vergriffen, bei den Brot- und Backwaren in der Selbstbedienung wird nicht immer regelmäßig aufgefüllt, so wie bei den Getränken der Eigenmarke
Globus;4;viel Auswahl, übersichtlich
Netto (Rot);4;Kurze Anfahrt
Lidl;4;Gibt immer interessante neue Produkte und relativ günstig
Rewe;4;kp
Rewe;4;Preis und Sortiment
Rewe;4;Ist einfach so
Rewe;4;Ich finde fasst immer alles was ich suche.
Aldi Süd;4;Im alten Aldi gab es mehr interessante Angebote
Netto (Rot);3;?
Aldi Nord;5;Bekomme alles was ich brauche, sehr nettes Personal,  gute Preise
Edeka;5;sauber,übersichtlich
Aldi Süd;5;immer frische angebote,nettes personal
Netto (Rot);4;Bin meistens zufrieden
Edeka;4;Gute Auswahl regionaler und saisonale Produkte
Globus;4;Globus hat alles unter einem Dach
Penny;1;meistens sind die Pfandautomaten voll,unfreundliche mitarbeiter
Edeka;5;Bekomme alles was ich benötige.
Edeka;4;Da es sich nur um eine kleine Filiale handelt ist das Angebot nicht so reichhaltig wie anderswo, was gerade bei den Angeboten schade ist.
Rewe;4;gut sortiert
Real;4;Angenehme Atmosphäre, freundliche Mitarbeiter, aber hohe Preise.
Aldi Nord;4;alles prima
Aldi Nord;5;gute Parkplätze. immer alles vorhanden, freundliches Personal.
Rewe;5;intuitiv
Aldi Süd;5;alles sauber, kurze Warteschlangenzeiten, freundliches Personal
Aldi Süd;4;Ist alles oky Auswahl und Produkte
Lidl;1;Immer alles da
Lidl;5;Lidl  überzeugt mit seinem Sortiement
Aldi Süd;4;Vor kurzem wurde zngevaut und man kann die Gänge nicht mehr in einem Durchgang alle nacheinander avlaufen
Edeka;3;Ich würde mir mehr regionale und veganes Angebot wünschen
Edeka;5;Es gibt alle Produkte, die ich suche. Gut sortierter Markt.
Lidl;4;Die Mitarbeiter sind etwas unsympathisch
Penny;3;Sortiment an Obst und Gemüse könnte größer sein  Eine Brotschneidemaschine fehlt
Lidl;5;es gibt alles für den täglichen Bedarf zu guten Preisen lediglich die glutenfreie Auswahl könnte noch verbessert werden
Edeka;3;Wenig Auswahl
Kaufland;4;sehr übersichtlich
Edeka;5;sie beiten einen heimdienst und faire preise
Lidl;4;Könnte ordentlicher sein
Lidl;5;Gut
Edeka;4;Für mich die beste Abdeckung meiner Ansprüche
Lidl;5;Ich bekomme alles was ich zum Leben benötige
Kaufland;5;Alles unter einem Dach, gut sort und gute Preise
Rewe;5;sehr gutes Sortiment, sehr gute Preise
Edeka;4;Finde dort fast alles was ich brauche
Rewe;5;Alles vorrätig,  nicht zu teuer,  sauber
Edeka;4;alles gut
Aldi Süd;3;keine extrem lange Wartezeiten, günstig,
Edeka;2;Es ist manchmal sehr mühsam dort einzukaufen, da viele Waren nicht vorrätig sind und auch ist das Personal zuweilen sehr langsam, und man muss an den Bedientheken und Kssen viel Zeit mitbringen.
Rewe;5;super
Norma;5;gutes Sortiment
Edeka;4;nur 2 Min von zuhause weg. Immer alles da, was auf die schnelle noch benötigt wird
Edeka;5;Ist so
Aldi Süd;5;Alles Perfect und günstig
Lidl;5;Angenehme Atmosphäre im LIDL und schnell erledigter Einkauf
Rewe;3;--
Rewe;5;-
Kaufland;4;Ich bekomme alles was ich brauche und die Mitarbeiter sind stets hilfsbereit
Edeka;4;Netter Aufbau des Sortiments, super frische Theken, nettes und kompetentes Personal
Edeka;4;Alles o.k.
Aldi Süd;5;sauber und Parkplatz
DM;3;Gute Produkte
Lidl;4;Nicht alle Sortimente im Angebot
Globus;4;qualität zu ordentlichen preisen
Kaufland;3;Teilweise nicht alle Produkte vorrätig.
Kaufland;3;Nicht weit weg, großes Angebot,
Real;4;Alles vorhanden
Edeka;5;Breites Angebot an Bio Peodukten, einer Salatbar. freundkiche Mitarbeiter, sauber und bis 22Uhr GEÖFFNET.
Kaufland;4;Sehr gutes vielfältiges Angebot aber langes Warten an der Kasse
Aldi Nord;5;alles da was ich benötige
Lidl;5;Ich arbeite selber beim Lidl und bin daher mit dem Lidl Konzept vertraut
Edeka;3;Die Preise für Lebensmittel sind zu hoch
Netto (Rot);4;Nah und gut
Lidl;5;Sauberer Laden freundliches Personal Gute Angebote
Aldi Süd;4;Hat alles was ich brauch
Netto (Rot);4;es ist nicht alles preiswert
Edeka;5;freundliches Personal und der Markt ist auch ansprechend
Hit;5;Übersichtlich und große Vielfalt
Edeka;5;sehr große Auswahl,frisch und günstig
Rewe;4;bekomme dort so gut wie alles, was ich brauche
Kaufland;3;Meist ist das Obst und Gemüse in der Frische Abteilung leer
Aldi Süd;4;Alles gut.
Edeka;4;Die Eigenmarke ist sowohl gut, als auch günstig. Ich finde mich im Markt gut zurecht. Die Mitarbeiter sind immer freundlich. Das Obst könnte manchmal frischer sein.
Penny;3;kompetente Mitarbeiter
Rewe;5;Es gibt alles was wir brauchen und der Markt ist angenehm gestaltet
Netto (Rot);4;sehr freundliches personal, aber überlastet.
Edeka;5;Alles da was wir brauchen und immer nett
Rewe;4;gute erfahrung
Netto (Rot);5;Ich bekomme dort alles was ich brauche
Rewe;5;Sehr freundliche und hilfsbereite Mitarbeiter Große Auswahl, große Obst/Gemüseabteilung
Aldi Süd;4;günstige preise
Andere;5;Ich liebe die Auswahl und den Service
Aldi Süd;5;Es gibt nichts zu meckern
Aldi Nord;4;Die Auswahl an veganen Milch Ersatzprodukten ist leider sehr klein, ansonsten bin ich sowohl mit dem Preis als auch mit der Auswahl sehr zufrieden.
Penny;4;bekomme alles was ich brauche
Kaufland;4;Große Auswahl an allen Produkten für das tägliche Leben.
Rewe;4;grosse Auswahl, gute Angebote
Netto (Rot);4;Finde was ich brauche
Globus;5;grosses sortiment
Lidl;5;Schöne große und neue verkaufsflächen. Ebenso sind sehr selten Fehlartikel.
Real;4;finde meistens alles was ich brauche
Rewe;3;Könnte sauberer sein
Rewe;4;bin zufrieden
Aldi Süd;4;Meist leckeres Obst und Gemüse. Bio-Obst/-Gemüse zum günstigen Preis (selbst Bio-Weintrauben). Zudem Kartenzahlung unter 5 Euro möglich.
Aldi Nord;5;gutes warenangebot schnelle kassenbedienung
Netto (Rot);4;nette freundliche Verkäufer, obwohl sehr viel zu tun ist.Packen sogar Ware nebenbei au, wenn kein Kunde an der Kasse ist.
Netto (Rot);4;Hatcgebau d8e Produkte die ich benötige und das zum günstigen Preis.
Penny;4;Sehr zufrieden
Penny;5;Fachpersonal, gute Qualität. Günstige Preise
Aldi Süd;4;Sauber und gut
Aldi Süd;5;Sehr übersichtlich  gutes Sortiment sauber frisches Obst und Gemüse
Kaufland;4;alles gut, nur Sonderangebote nicht immer ausreichend
Rewe;2;Der rewe vor Ort hat zu oft Sachen nicht vorrätig sodass man oft noch in andere Geschäfte gehen muss.
Lidl;5;Großer moderner Laden mit für uns kompletten Angebot
Edeka;5;Guter Markt
Kaufland;4;hab meist alles bei Kaufland bekommen
Aldi Süd;3;Unfreundliches Personal schlechte Warenverräumung
Edeka;4;Obst und Gemüse Auswahl könnte größer sein, aber ansonsten bin ich sehr zufrieden
Edeka;3;Die Warenauswahl, Angebote und frische der Produkte sind sehr gut. Sehr gute Fleischtheke. Gänge etwas schmal. Wenn Mitarbeiter mit großen Wagen einsortieren, kommt man kaum vorbei. Zwei Einkaufswagen nebeneinander schwierig, auch kaum Möglichkeiten mal zu parken um in Ruhe zu schaun.
Rewe;5;Guter Supermarkt
Lidl;4;-
Lidl;5;Personal ist immer nett
Edeka;5;weil sie schön groß ist und ich alles bekomme was ich für mich zum einkaufen brauche.
Kaufland;4;Meistens ist alles verfügbar was ich brauche
Aldi Süd;5;Ich bekomme alles , was ich brauche zu einem guten Preis und frisch. Der Kundenservice ist super
Real;4;Alles in Ordnung.
Aldi Süd;4;sauber, gute Auswahl, sehr günstig
Edeka;2;Unmotiviertes Personal, Atmosphäre zu kalt, Lebensmittel oft nicht vorrätig/vergriffen
Lidl;5;umfangreiches Sortiment, Regale sind immer aufgefüllt, selten fehlt etwas
Kaufland;3;oft fehlen Artikel über Wochen Obst und Gemüse ist magelhaft
Aldi Süd;4;??????????????ß
Edeka;3;passt so
Kaufland;4;Es könnte etwas mehr Demeter- und Bioland-Produkte geben zu oft die selben Sachen im Angebot
Aldi Süd;3;hat fast alles, was ich an Lebensmitteln benötige.
Lidl;5;Immer freundliches Personal
Aldi Nord;5;Gut gunstig
Combi;4;Freundlich, offen, übersichtlich, wird alles Angeboten
Kaufland;5;Sehr zufrieden
Aldi Süd;4;Da gibt es alles für den täglichen Gebrauch.
Aldi Süd;4;die Abdeckung mit Grundnahrungsmitteln ist gut
Kaufland;5;gutes sortiment
Lidl;3;Ja
Rewe;4;gutes sortiment
Netto (Rot);4;Da kaufe ich alles für meine täglichen Bedarfe
Lidl;5;sauber, ordentlich, tolle Produkte (italiensiche vor Allem) nettes Personal
Netto (Rot);4;ab und zu sind Artikel, die ich benötige, vergriffen. Dann muss ich in ein anderes Geschäft, um diese Artikel auch zu bekommen.
Andere;5;Alles, was ich brauche, bekomme ich bei tegut
Lidl;4;Preis- und Leistung
Lidl;5;Lidl ist immer preiswert und hat eine große Auswahl. Der Laden ist ganz in meiner Nähe. Obst und Gemüse sind immer frisch. Es gibt oft Sonderangebote.
Edeka;5;freundliches personal, gutes angebot
Penny;4;Sauber, freundlich, günstig
Lidl;5;Sehr guter Zustand, abwechslungsreich, gute Qualität und sehr guter Geschmack.
Lidl;4;Sauber und ordentlich
Netto (Rot);5;günstig, Standard Getränke die man nirgend wo anders kaufen kann
Edeka;4;Die Markenproduktehaben abgenommen.
Denn's;3;Mir fehlt die Frischtheke für Fleisch und Wurstwaren
Kaufland;4;es ist in meiner nähe und ich finde alles
Kaufland;3;viel auswahl
Aldi Süd;5;Keine Angaben
Edeka;5;sehr gutes Angebot und personal
Aldi Nord;3;Artikel sind manchmal nicht verfügbar
Edeka;5;Super in der Mittagspause zu erreichen, immer sauber und aufgeräumt, freundliches Personal
Penny;5;es ist immer das ganze Sortiment vorhanden
Aldi Süd;5;Nagelneue Aldi-Filiale. Alles sehr leichtläufig, viel Platz. Sehr sauber
Kaufland;5;Angenehmes Einkaufen
Edeka;4;viel auswahl
Lidl;4;Gute Auswahl freundliche Mitarbeiter.
Globus;3;Ja
Kaufland;5;Einfach beste
Netto (Rot);4;gut erreichbar, Artikel sind vorrätig, angenehme Einkaufsatmosphäre
Netto (Rot);2;gibts alles was ich brauche
Netto (Rot);2;zu klein, zu eng, wirkt alt, Obst/Gemüse wirkt nie frisch
Lidl;5;sehr sauber
Lidl;4;Ich hab da nichts zu meckern, allerdings gibt es ein Minuspunkt beim Personal, die man besser Schulen sollte, zu manchen Produkten.
Edeka;5;Ich kann dort alles kaufen was ich zum täglichen Gebrauch benötige, preiswert und gute Qualität
Rewe;4;vor ort kein rewe
Rewe;5;sauberes geschäft mit schnellen kassen
Globus;3;Weil es viele Auswahl Möglichkeiten gibt
Netto (Rot);3;Oft leere regale
Lidl;4;Die Filiale ist gut zu erreichen und recht groß und übersichtlich. Preise sind topp
Aldi Süd;5;Ist groß, aufgeräumt und sauber und hat eine gute Auswahl an Produkten und die Wartezeiten an der Kasse sind in der Regel kurz.
Penny;5;Gutes Preisverhältnis
Rewe;5;Einfach übersichtlich
Netto (Rot);4;bekomme alles was ich für den normalen Alltag brauche
Netto (Rot);3;gut geordnet, aber nicht immer alle pereise ausgeschildert
Rewe;2;Manche sind die Regale leer und das Gemüse und Obst ist nicht mehr frisch.
Rewe;5;Keine lange Wartezeit an den Kassen
Aldi Süd;5;Gute Auswahl zu guten Preisen, immer wechselnde Angebote und Specials
Lidl;5;Schöner laden fast alles für den täglichen Bedarfs da
Edeka;4;Es ist sehr sauber und aufgeräumt, die Auswahl an Obst und Gemüse ist die Beste im Umkreis. Die Mitarbeiter sind stets freundlich. Mit fehlte ein Zwillingseinkaufswagen. Und es könnte noch mehr NoName oder Eigenmarken geben,  die günstiger sind.
Edeka;4;breites & tiefes Sortiment, gute Sonderpreise, den Minuspunkt gibt es, weil Artikel häufiger das MDH überschreiten
Rewe;5;großes, gut geordnetes Angebot
Netto (Rot);3;zu wenig Personal
Edeka;5;alles ok
Kaufland;5;guter kundenservice, gutes preis- leistungsverhältnis
Lidl;4;es gibt fast alles was man braucht
Aldi Nord;3;Gute Bedienung
Rewe;4;weil sie so aufgeräumt aussieht
Real;5;frische Ware  größte Sauberkeit vielfältiges Angebot sehr freundliche Mitarbeiter
Penny;4;Ist gut sortiert und es gibt alles was man braucht.
Aldi Nord;4;Sie ist aufgeräumt und ich weiß wo auch Key ist
Aldi Süd;4;Guten Qualität, günstige
Edeka;5;Sauber und immer gute Angebote
Rewe;5;Finde alles, was ich brauche
Tegut;2;zu wenig Auswahl, Obst und Gemüse oft viel zu teuer
Rewe;5;Im Rewe Center gibt es alles was man braucht
Netto (Rot);4;Nichts zu sagen
Real;4;ich bekomme da alle   Lebensmittel die wir brauchen
Rewe;5;Sauber, übersichtlich, gute Auswahl, junges fähiges kassenpersonal, schicker laden, gutes Publikum
Rewe;3;Sehr zufrieden, aber es könnten mehr regionale und umweltfreundlichere Produkte angeboten werden
Aldi Nord;5;Immer sauber...Frische Ware..nette Mitarbeiter
Netto (Rot);5;die sind immerda so nett und freundlich
Edeka;4;allesok
Aldi Süd;2;Günstig, aber unübersichtlich
Edeka;5;Sauber ,freudlichund ich bekomme das was ich brauche
Kaufland;4;Gute Auswahl, gute Preise. Wartezeit an der Kasse jedoch oft über 5 min
Rewe;4;großes Sortiment
Edeka;4;hat alles was ich meißtens benötige
Edeka;5;Es stimmt alles.
Edeka;5;große Auswahl, gute Qualität, schöner Laden
Lidl;4;Die Filiale ist relativ nah, gut sortiert, sauber und das Personal freundlich.
Edeka;4;Sauber, fast alle Produktgruppen vorhanden, freundlich
Aldi Nord;5;Preis/Leistungsverhältnis simmt.
Kaufland;5;Ist immer alles vorhanden. Super Angebote. Nettes Personal.
Real;4;Angebot ist sehr gut
Lidl;5;---
DM;4;Top
Edeka;4;ich bekomme dort alles, was ich brauche
Aldi Nord;5;Weil ich bei Aldi einfach alles finde, und ich bin absolut zufrieden.
Aldi Süd;4;Sehr zufrieden mit der Produktauswahl Leider ist nicht alles Personal angemessen
Rewe;5;Es ist dort immer übersichtlich und sauber
Rewe;5;Ist direkt um die Ecke und hat fast alles was man braucht in guter Qualität
Rewe;4;alles zufriedenstellend
Edeka;3;Erreichbarkeit
Kaufland;4;gutes sortiment
Aldi Nord;5;Der Laden ist attraktiv und sauber, die Ware gut, das Personal freundlich.
Edeka;4;alles ist vorhanden,aber das personal ist nicht sehr freundlich
Kaufland;3;früher war die Auswahl größer
Rewe;5;alles bestens
Netto (Rot);3;am späten nachmittag sind schon oft viele waren vergriffen und es sind immer lange schlangen an der kasse.
Edeka;5;Weil alles frisch ist
Kaufland;3;Weil berufstätige die Angebote abends nicht mehr bekommen, das meiste ist weg
Aldi Süd;4;Übersichtliche Anordnung, gutes Sortiment
Edeka;4;Relativ geringe Entfernung
Kaufland;5;bekomme ich alles und auch marken günstig
Lidl;3;gut sortiert
Rewe;3;hat alles vorrätig, ist nicht immer leicht, alles schnell zu finden
Netto (Rot);3;ist alles da, was ich brauche
Kaufland;4;immer alles ok.
Edeka;4;y
Norma;5;Gute Preise, gute Qualität, übersichtlich, freundliche, hilfsbereite Mitarbeiter, gut erreichbar
Penny;5;erfühlt alle meine Wünsche
Norma;4;Bekomme dort fast alles günstig für den täglichen Gebrauch.
Netto (Rot);5;ist ok
Edeka;3;Nur wenn Marktprodukte in Angebot sind
Aldi Süd;4;.
Aldi Süd;5;Gute Preise.
Rossmann;4;weis nicht
Rewe;3;hat zwar eine große Auswahl, aber viele Produkte werden ständig aus dem Sortiment genommen. Häufig sind auch manche Regale leer. Qualität ist gut. Filiale ist sauber.
Netto (Rot);3;weiss nicht
Rewe;5;gute qualität
Andere;4;bis auf die manchmal langen Wartezeiten an den Kassen ist der Rest eigentlich ganz okay
Kaufland;4;großes Angebot, gute Preise, aber Wochenangebote sind manchmal nicht mehr vorrätig
Norma;4;Es ist günstig und die Verkäufer sind freundlich. Ich finde fast alles, was ich brauche.
Real;5;bin sehr zufrieden, sehr freundliche Mitarbeiter, fast schon freundschaftliches Verhältnis, gutes Sortiment, gute Qualität der Fleisch- und Wurstwaren, Gemüse und Obst sowie Eigenmarken
Kaufland;3;ja
Edeka;5;Alles ist immer vorhanden und frisch.  Öffnungszeiten könnten bis 00Uhr ausgeweitet werden.
Edeka;5;Nettes Personal, gute Sonderangebote
Aldi Süd;5;alles vorrätig was ich benötige,  reichhaltige auswahl an allen produkten geboten
Real;5;immer zufrieden
Netto (Rot);5;gute Sonderangebote Preis-Leistungsverhältnis stimmt leicht zu erreichen
Lidl;4;Alles gut
Lidl;5;es ist immer alles da was ich brauche und es ist ordentlich und übersichtlich
Edeka;3;nicht immer alles da
Kaufland;5;Man findet alles für den täglichen Gebrauch.
Kaufland;4;Der Markt ist grundsätzlich sauber und ordentlich/übersichtlich gestaltet. Die Gänge sind breit genug und man bekommt eigentlich alles was man braucht. Zudem gitb es gute Sonderangebote.
Penny;3;Könnte sauberer sein
Kaufland;4;Sie ist sauber und hat alles verfügbar, was ich brauche.
Netto (Rot);5;ich bekomme alles was ich brauche ,gutes Einkaufsklima, Alles sauber und ordentlich
Aldi Nord;2;Das Angebot ist sehr Begrenzt
Rewe;4;gut zu erreichen, Sortiment für mich ausreichend
Globus;5;Immer alles vorhanden
Andere;4;kleiner übersichtlicher Laden, gute Beziehung mit dem Verkaufspersonal, Verkaufspersonl ist am Ort und kann gefragt werden
Kaufland;3;Meist alles frisch
Kaufland;4;es gibt alles was ich brauche, zu vernünftigen Preisen
Edeka;5;alles sauber, aufgeräumt und nette Bedienung
Aldi Süd;4;große Auswahl und alle Waren sind ausreichend vorhanden nur das Personal könnte teilweise freundlicher sein
Kaufland;5;---
Lidl;4;Weil ichs gut finde
Rewe;4;angenehmer Einkaufsort, gute Angebote, gute Erreichbarkeit & Öffnungszeiten
Lidl;5;In der Regel sind alle Waren in ausreichender Menge da und das Personal ist nett.
Penny;5;sauberer Laden, sehr nette hilfsbereite und freundliche Mitarbeiter
Kaufland;3;Das Angebot wird meiner Meinung nach immer schlechter. Viele Produkte sind vergriffen auch wenn sie nicht im Angebot waren. Das Verpackungsmaterial ist eine Katastrophe, wofür Kaufland sicher nichts kann sondern die Hersteller, trotzdem ist es unangenehm und die Kassenbereiche sind sehr eng.
Edeka;5;Gutes Personal, sehr gute Auswahl und Qualität, gutes Preis-/Leistungsverhältnis
Edeka;4;gutes sortiment und nette mitarbeiter aber einzelne gut und günstig produkte leider nicht verfügbar
Rewe;4;Es ist ein gutes Angebot an Produkten und eine gute Mischung an eigenmarjen- und markenprodukten
Rewe;5;großes Sortiment, heller freundlicher laden, nettes personal, übersichtlich, große Gänge , ausreichend Kassen
Lidl;5;Große Auswahl, schnell erreichbar
Real;4;Immer alles sauber und Angebote sind meist auch verfuegbar
Edeka;5;Großer Laden, riesige Auswahl,
Penny;4;Günstige Preise
Real;5;alles bestens
Kaufland;5;große Auswahl und alle Produkte vorhanden
Lidl;4;achgut.com
Edeka;5;ist ordentlich
Aldi Nord;4;läuft
Rewe;4;gibts eigentlich alles
Rewe;5;Gute Qualität Preise Lirferdienst
Kaufland;5;Gute Auswahl
Aldi Süd;4;Ich finde es gut, dass immer mehr vegane Produkte bei Aldi angeboten werden.
Hit;4;Soweit alles gut, nur fehlt ein Bereich wo man die Einkäufe in die Tasche packen kann ohne im Weg zu stehen
Kaufland;3;.
Rewe;5;Es gibt ausreichend Produktauswahl und gute Sonderangebote.
Aldi Nord;3;Die Angestellten könnten netter sein.
Edeka;4;Hmm
Hit;5;Große Verkaufsfläche und sehr viel Auswahl.
Aldi Süd;5;große auswahl, gutes preis-leistungs-verhältnis, freundliche kompetente mitarbeiter, wohnortsnah
Aldi Süd;5;Große Auswahl
Netto (Rot);3;Obst und Gemüse könnte mehr angeboten werden, und auch teils frischer in den Ablagen dargestellt werden.
Lidl;3;Manchmal Abends kein Obst/Gemüse mehr vorhanden. Aktionsartikel schon am Folgetag bzw. ersten Tag Abends ausverkauft!!
Edeka;3;meine edeka löscht die ware nicht systematisch und fehlt beim kauf
Edeka;4;ist sauber  und gepflegt . ist fussläufig zu erreichen
Aldi Süd;4;Grundsätzlich sind die bei Aldi Süd angebotenen Produkte, egal ob Markenprodukte oder nicht, von guter Qualität
Denn's;5;hhmmmmmm
DM;3;1
Real;3;,
Alnatura;3;Buchhaltung
Lidl;4;Gutes Obst und Gemüse aber sehr viel los
Edeka;5;Es ist immer sauber und ich bekomme alles was ich brauche, Mitarbeiter sind freundlich
Netto (Rot);3;Es ist ein Licht und Schatten Spiel..die Kassen sind grausam. Es dauert lang, da immer nur eine Kasse geöffnet ist. Das Obst ist schon ab Mittwoch gammelig. Aber ansonsten ist soweit alles zufriedenstellend, gute Backstraße etc.
Real;4;im großen und ganzen bin ich zufrieden
Aldi Nord;4;gutes Preis-Leistungs-Verhältnis
Kaufland;5;gut erreichbar, Parkhaus, gutes umfangreiches Angebot,vieleSonderangebote,viele Kassen
Rewe;5;Anordnung im Geschäft, sehr sauber und gepflegt, ich bekomme gute regionale und biologisch frische Lebensmittel, weniger Verpackung, gerade bei Obst und Gemüse
Aldi Süd;4;sauberkeit, verfügbarkeit und freundlichkeit sind in ordnung
Lidl;2;Getränkeauswahl wegen Platzmangels begrenzter als in anderen Filialen
Netto (Rot);3;manchmal unordentlich
Edeka;5;Beste Einkaufsmöglichkeit für mich . Gut zu erreichen , ausreichender Parkplatz
Rewe;5;Nette Verkäuferinnen und Verkäufer, tolles Angebot, Filiale in der Nähe
Lidl;4;Könnte besser aufgestelkt sein
Edeka;4;Übersichtlich, großzügige Gänge, vielseitiges Angebot
Andere;4;es gibt nicht alle Produkte, die ich kaufen möchte
Aldi Süd;3;angenehmes einkaufen. für den groben bedarf alles verfügbar.
Lidl;5;Die Artikel sind frisch, qualitativ und günstig
Kaufland;3;Schlecht sortiert
Kaufland;4;weiß nicht
Rewe;5;Große Auswahl, sauber, freundliche Mitarbeiter
Rewe;4;Es gibt alle Produkte, die ich für den täglichen Bedarf brauche, jedoch sind nicht immer alle Angebote verfügbar.
Real;5;Freundliche Bedienung, gute Angebote, gute Preise
Netto (Rot);5;alles okay
Edeka;3;****
Rewe;5;Passt einfach alles. Personal freundlich, großes Angebot, getränkemarkt mit dabei
Rewe;5;Riesenauswahl, frisch, alle Produkte vorhanden, gute Angebote
Kaufland;4;Ich bekomme alles was ich für den täglichen Bedarf brauche in einer angenehmen Umgebung
Lidl;4;passt alles
Aldi Nord;5;Grose gemüseauswahl und immer super angebote
Rewe;4;bisher keinerlei Beanstandungen
Edeka;5;der Markt ist sauber hat immer frisches Obst und Gemüse.Die Mitarbeiter sind freundlich und hilfsbereit.Die Waren aus der Fleischtheke sind frisch.
Andere;3;verbesserung bei sortimenten
Rewe;5;sehr gute Auswahl, sehr gute Produkte und Produktvielfalt
Rewe;5;Auswahl,Personal und sonstiges echt super!
Edeka;3;entspricht meinen Bedürfnissen
Lidl;2;Ich liebe Lidl!
Rewe;5;Freundliche Mitarbeiter, große Auswahl
Rewe;5;Etwas teurer aber gute qualität
Edeka;3;Etwas zu teuer
Netto (Rot);5;finde alles sehr schnell ,  was ich brauche
Lidl;5;Sie ist übersichtlich, Obst + Gemüse in gutem Zustand, viele Artikel verpackungsfrei, Bio und vergan, Personal extrem freundlich
Rewe;5;Dicht dran, gute Auswahl, faire Preise
Rewe;3;Regale sind nicht immer aufgestockt, häufig erhalte ich mein gewünschtes Produkt deshalb nicht
Edeka;4;AGGHBT
Aldi Süd;4;Gut
Netto (Rot);3;limitierte marken
nah&frisch;5;Freundliches, zuvorkommen-des Personal. Nicht zu teuer. Nur 3 km Entfernung. Weitere Einkaufsmöglichkeit 7 km. Umfangreiche Auswahl.
Kaufland;4;ist modern hergerichtet
Kaufland;5;Obst und Gemüse sind immer frisch und ordentlich eingeräumt
Kaufland;5;alles da wasman braucht
Kaufland;4;manchmal fehlt geschultes personal
Rewe;5;Übersichtlich Freundliches Personal
Rewe;4;Seitdem Umbau zu REWE ist es viel übersichtlicher geworden.
Globus;5;Gutes Sortiment
Lidl;4;ich bekomme meine Produkte, die wir benötigen günstig
Rewe;4;kleine filiale, gutes angebot
Aldi Süd;5;Gutes Verfügbarkeit, freundliches Personal, alles sauber und ordentlich
Lidl;4;Dort kaufe ich gerne ein
Andere;4;Sehr sauber.frische Ware. Freundliches Personal.
Andere;5;Im V-Markt bekomme ich von Getränken, über Lebensmittel bis zu Drogerieartikeln alles in einem Supermarkt.
Famila;5;Sauber und ordentlich gibt alles, was ich brauche nette Bedienung
Edeka;2;gieriger eigentümer
Aldi Süd;5;gutes sortiment, günstige preise
Lidl;4;sauber, gut sortiert, Einkauf geht schnell, oft gute Angebote
Aldi Nord;5;alles was ich brauche vorhanden, neu umgebaute moderne Filiale
Edeka;4;Ich bekomme alles was ich brauche dort, finde es allerdings manchmal recht teuer
Lidl;4;Bei Lidl kaufe ich das wichtigste für meinen Haushalt. An der Kasse muß man aber aufpassen,das man nicht zuviel zahlt.
Netto (Rot);5;gleich in der nähe 1 km
Rewe;5;Darum
Aldi Süd;5;alles gut
Kaufland;5;gutes Preis- Leistungsverhältnis
Rewe;5;ich bin dort stammkunde kann man sagen kaufe dort seit 5 jahren ein bin sehr zufrieden
Rewe;5;ist gut sortiert und gute ware
Edeka;5;Passt alles
Netto (Rot);5;Nettes Personal
Rewe;5;sauber, höfliches personal, im angebot alles was wir brauchen
Kaufland;5;alles sehr frisch, große auswahl, sauber, freundliche mitARBEITER
Edeka;3;Teilweise wird an der Kasse Gemüse nicht richtig Gewogen weil die Waagen nicht auf 0 stehen da muss man immer aufpassen. Teilweise sind Gratis Artikel aus der App nicht vorrätig
Aldi Nord;2;Ist eben ALDI
Edeka;4;k.a.
Edeka;5;Super Angebote und sehr sauber
Edeka;5;kompetent freundlich kommunikativ
Rewe;4;Ein bisschen klein und manchmal überteuert, aber Rewe ist der beste Supermarkt
Netto (Rot);5;man bekommt alles was man brauch
Edeka;4;Manschmal MHD abgelaufen
Aldi Nord;4;Es gibt alles für den täglichen Bedarf und es herrscht eine angenehme Atmosphäre im Geschäft.
Lidl;4;gut
Real;5;sauber, frisch, gutes Angebot
Netto (Rot);4;guter laden ferundliches personal
Edeka;4;Ware ist vielfältig und frisch
Lidl;5;Günstig Große Auswahl Sauber
Aldi Nord;3;Es könnte aufgeräumter und bei Aktionen mehr Ware vorhanden sein
Edeka;2;Allgemein gut
Real;5;Viele Parkplätze, freundliches Personal und keine Schlangen an den Kassen.
Lidl;5;Lidl ist gut und guenstig
Netto (Schwarz);5;Vielfältige Auswahl, regionale Produkte
Kaufland;5;super Angebote
Rewe;3;grosses Angebot, gerau,ige Geschaefte
Edeka;3;Die Filiale in Freyung hat leider kein frisches Obst und Biogemüße Waldkirchen ist besser
Lidl;4;Bin zufrieden
Real;5;Ich erhalte alle Produkte die wir für den Haushalt benötigen in einer guten Qualität zu vernünftigen Preisen- außerdem auch viele lactosefreie lebensmittel die ich benötige mit sehr guter Auszeichnung der Ware im Geschäft.
Edeka;4;-
Edeka;5;Gemütlich, Groß, übersichtlich eingerichtet, gute Beratung
Aldi Nord;5;grosse auswahl
Rewe;4;Sauber, übersichtlich, nah
Lidl;5;ist einfach so
Rewe;5;alles ok
